gene_id,gene_short_name,PS_cEpiblast,NP_Epiblast,Induced_5hrs,Induced_9hrs,Induced_12hrs,FC_0hrs,FC_5hrs,FC_9hrs,FC_12hrs,FC_PS,FC_NP
ENSGALG00000040266,GLI3,1.83963,9.85298,3.49826,4.62616,5.76692,0.308990755,2.300730023,2.643097104,2.910366337,1.411029722,8.146661706
ENSGALG00000040270,ZNF687,17.093,16.1794,11.0709,11.7965,8.59384,0.970996035,1.12791354,0.979523545,0.836302063,1.508929281,0.965628786
ENSGALG00000040276,RUNX2,0.273756,0.131875,0.423142,0.256249,0.250008,4.317250474,0.280451223,0.196067914,0.098209502,0.527753948,0.035771637
ENSGALG00000040320,HOXB8,0,0,0,0,2.96912,1,0,0,9.959245556,0,0
ENSGALG00000040383,SOX3,213.843,111.627,160.168,105.641,70.7277,0.443121597,3.084293918,2.042046744,1.534146886,2.001319595,2.138272135
ENSGALG00000040453,SRA1,5.64392,5.84024,4.61214,4.03773,5.91963,0.575401007,1.225361992,1.111908794,1.430532665,1.454195041,0.578384749
ENSGALG00000040465,ZEB2,0.684525,27.0339,0.4655,8.97911,13.587,0.261082707,5.483482995,28.09835399,42.42305026,6.145741682,395.4648785
ENSGALG00000040521,HOXA2,0.042245,0.975726,0.3926,0.856147,7.68583,14.78122771,0.363165441,0.232507747,1.747029688,0.007334138,0.058338675
ENSGALG00000040529,DLX3,0.319449,0.695656,0.377309,1.69753,3.78926,8.419041157,0.039826911,0.078203043,0.166948346,0.443433431,0.010220556
ENSGALG00000040532,ZIC1,0.213852,11.1983,0,2.63993,6.42427,1,0,2.63993,245.1515533,0.213852,424.0045739
ENSGALG00000040557,TFEC,0,0.0366834,0,0,0,1,0,0,0,0,0.637041539
ENSGALG00000040582,LMX1B,2.81424,40.752,1.06857,13.3404,24.7394,2.767165464,1.354351766,4.651675285,7.562328055,0.65361408,8.793504131
ENSGALG00000040606,RAC3,37.3172,46.2001,32.3558,30.1647,33.8179,0.818004809,1.148896582,1.047880249,1.213921115,1.180752169,1.243338599
ENSGALG00000040641,SCRT1,0,0,0,0,0,0.123542,0,0,0,0,0
ENSGALG00000040730,RXRG,1.21304,2.95852,1.28019,1.25712,1.95239,0.918676134,0.920516563,0.435119101,0.241916258,1.031031933,1.682650363
ENSGALG00000040827,USF1,14.9535,16.2247,9.71982,9.65489,9.65101,0.796367628,1.313159125,1.136653034,1.18225239,0.9628783,1.07047095
ENSGALG00000040971,EGR2,0.323363,0.174096,1.33718,9.99E-05,0.375859,0.205549739,2.911730058,0.0000519,0.246670342,39689.44427,0.262610813
ENSGALG00000041025,FOXJ1,3.53667,3.27603,2.12781,3.26555,2.38917,0.788618345,2.574946966,5.421106716,4.900308683,1.635545094,3.621363194
ENSGALG00000041083,ZIC2,4.7942,185.63,12.6076,48.5907,80.2426,0,12.6076,508.7397487,76.91524644,206.088691,414.9324726
ENSGALG00000041154,MNX1,1.1037,0.200513,0.736922,1.48755,3.03676,0.799389895,1.514661087,6.352653291,16.02824826,0.181872111,1.16789856
ENSGALG00000041182,TBX1,1.00386,0.653479,0.938958,1.19985,1.08108,0.06273582,5.772661322,5.89688016,3.735952338,4.647650618,0.61416622
ENSGALG00000041193,NFYB,29.4004,31.8279,47.1867,51.1906,51.1616,0.831422837,1.068873425,1.197704291,1.287226762,0.705890262,1.010608437
ENSGALG00000041253,MYRF,1.85589,4.3019,3.0387,3.57922,2.88333,1.476095041,0.440450031,0.35234092,0.282358298,0.637169509,0.791305372
ENSGALG00000041280,FOSB,0.2273,0.250424,0.985314,5.28611,1.20361,0.09368445,2.544393917,3.646674531,1.68012552,1.451116587,0.250424
ENSGALG00000041299,E2F8,15.6182,26.5763,18.8389,19.8123,19.6397,0.920143957,1.082602075,1.34751884,1.214313538,0.989614817,0.821419851
ENSGALG00000041365,SALL4,239.054,198.024,230.69,222.144,151.233,0.679288222,1.112729658,1.432549381,1.080652537,1.22001184,2.496013794
ENSGALG00000041370,ZNF335,28.3956,24.6462,23.3485,24.3314,18.7776,1.012309142,1.124594807,1.163558285,0.937211763,1.076712485,1.157788916
ENSGALG00000041404,SALL3,0.411017,4.85354,1.74189,3.58046,5.72592,0.647009857,0.858852359,2.350354805,3.463516432,0.762420353,1.988854149
ENSGALG00000041414,BHLHE41,0.375224,0.379004,0.309944,0.750992,0.458928,5.577814057,0.11469637,0.445769302,0.200027895,0.280849981,0.071630203
ENSGALG00000041454,DNMT3A,562.265,200.484,484.484,325.664,214.342,0.160050487,10.50786435,4.809858864,4.133447754,2.611930245,5.037476287
ENSGALG00000041461,DNMT3B,930.032,341.946,493.371,467.913,357.52,0.620614102,2.51830395,3.89499051,4.025414426,1.779291292,2.285979784
ENSGALG00000041470,PPARA,0.616228,1.56252,1.93054,2.23916,1.97932,1.085659971,0.60297342,0.455686207,0.300153009,0.472560237,0.74656703
ENSGALG00000041592,SMARCC2,9.43893,13.2265,6.93196,9.26721,8.66789,0.974258363,0.970669699,0.941096245,0.816047186,1.283764522,0.957754944
ENSGALG00000041626,MEIS1,2.63476,7.28981,4.93904,9.60804,17.0397,0.171908711,6.762130732,5.101271065,4.500558618,2.678655121,0.406513871
ENSGALG00000041630,NFIX,4.3418,6.21096,3.56817,6.93164,3.9999,0.704728194,1.623378632,3.01940149,2.268005579,1.298548263,2.454565933
ENSGALG00000041640,TWIST1,0.221534,0.47979,0.359731,0.435725,0.841135,0.37409064,7.649050064,3.705680243,23.87932797,0.860002252,2.864913925
ENSGALG00000041641,HMG20A,24.134,26.247,19.9019,18.0005,22.619,1.24612223,0.992851156,0.95661347,1.225995284,1.001772424,1.184458133
ENSGALG00000041643,NFIC,0.610799,0.386119,0.312262,0.810239,0.530775,1.025055883,0.604185894,1.095183964,0.832285349,2.7062428,1.274942876
ENSGALG00000041687,SREBF2,30.8261,61.3462,53.2329,59.629,50.2233,0.51595348,1.41501971,1.330683674,0.848266252,1.746333256,1.043434038
ENSGALG00000041717,KLF3,93.9877,20.2287,68.4307,66.2449,33.8395,1.165627416,1.225113953,1.300559333,1.049290075,0.785975197,0.508866109
ENSGALG00000041775,ESRRB,0.124269,0.369041,0.645533,0.446784,0.15139,1.30870459,0.66549588,0.769163496,0.126695734,0.230364114,0.853972963
ENSGALG00000041845,ZNF692,16.537,10.776,9.03704,10.0291,8.68533,1.088857635,0.975879038,1.422527021,1.306137334,1.150584093,0.976777071
ENSGALG00000041896,RFX7,7.56326,14.1856,14.8433,15.5167,10.4322,0.805919169,1.186704509,1.557199616,1.171257146,1.005378317,2.104741514
ENSGALG00000041953,KDM2A,7.80424,11.883,7.83354,8.02477,7.86693,0.90753095,0.7418406,0.95634189,0.839010328,1.141369572,1.383040384
ENSGALG00000042045,IRX3,2.21083,115.173,4.25261,15.574,25.5008,0.092411719,3.572781194,24.73634053,34.4210029,5.666847801,16.53601303
ENSGALG00000042055,RXRA,6.74039,10.5639,4.20489,8.86586,8.1554,1.372642328,0.484809668,0.758070336,0.642932036,1.24106357,0.931298046
ENSGALG00000042062,HMX1,0.0362946,0,0.120568,0.0730236,0,0,0.120568,0.47330637,0,0.483692603,0
ENSGALG00000042077,HIC1,1.27094,0.172528,0.433589,0.862572,1.34957,1.21187115,2.792160373,0.377564268,0.395554891,9.192989562,0.034036039
ENSGALG00000042095,NR1I3,0.0999361,0.309509,0.0463518,0.168425,0.182626,0,0.273321658,1.058763995,0.283804175,0.774020432,1.7921253
ENSGALG00000042241,GBX1,0.184943,0.0763882,0,0,0.338433,0.149923,0,0,3.195447121,5.804846815,0.102461192
ENSGALG00000042389,EN1,0.136368,0.253496,0.0633109,0,0.124868,0,0.0633109,0,0.124868,3.869759417,2.869763872
ENSGALG00000042416,HOXC11,0.00769378,0,0.0142478,0,0.00933541,0,0.0142478,0,0.00933541,0.00769378,0
ENSGALG00000042422,GLI1,1.04394,5.89908,0.39511,4.68192,5.51972,1.491349245,0.930857706,5.002040594,6.60206995,1.559681412,4.81258974
ENSGALG00000042474,FOXD2,0.0558045,0.184306,0.137949,0.334139,1.78762,0.65366331,0.137949,8.470280163,18.66677527,0.138226778,5.731513904
